Communications;;;;;;
Poisons;;;;;;
Detection;;;;;;
47;Micro-Visualiseur B310;-;5250;2;2;Microscope, Jet Per, Con.(Edu), Con.(Cul) +2, x10000
Medical;;;;;;
49;Brancard antichoc;-;250;2;2;Diff -1d guérrir blessure critique
50;Scanner biologique;-;5000;1;2;Diff -2 jet médecine
50;Réplicateur de protéine à plasma;-;5500;3;4;+1 succès guérir blessure critique
50;Pulvérisateur Plasto-Cast;-;35;1;1;Diff 1 Medecine, soigne un membre cassé en 1 semaine
Cybernetic;;;;;;
Recreational;;;;;;
Security;;;;;;
48;Détecteur de micro SDS-632;-;450;1;3;Jet Per, Vig +2 pour détecter un micro ou caméra courte portée
48;GeoScanner Fabritech 7000;-;4800;2;3;Jet Per, Con.(Edu), Con.(Cul) +1 pour étudier le sous sol, Portée Moyenne
48;Synthétiseur d'odeur ;-;1500;1;4;Jet Charme, Coercition, Nego -2
48;Anamlyseur de nourriture EZ1;-;300;1;3;Permet d'identifier ce qui est comestible
Survival;;;;;;
47;Cocon environnemental BC-7;-;2000;3;4;1 place, Jet Résistance -3 (chaleur et froid)
48;Seconde peau thermo-régulée;-;700;2;4;Jet Resistance -1 (chaleur et froid)
48;Purificateur d'eau;-;100;4;1;Pour 1 personne / jour
Tools;;;;;;
49;Système de traduction avancée;-;1200;2;2;Jet Charme, Coercition, Nego -2 si différence de langue
49;Data Jumelles;-;250;1;2;Jet Con +1 (choisir la comp en début de rencontre)
49;Holo Jumelles;-;6000;3;4;Permet d'apprendre un comp comme carrière (sauf combat)
49;Professeur Synaptique;-;8500;1;1;Jet sangFroid diff3, une comp rg 3 pour la séance, Echec Stress / 2
Droids;;;;;;
54;Droid de support Serie BD-10;-;8500;0;5;Jet Nego +1 (bordure ext), Spécialisé Brodure Ext, Malin
54;Droid de combat non létal Série BL-0;-;5000;0;6;Fouet Neutralisant, Sécurité non létal, 2 Grenade Etourdissantes
54;Droid ambassadeur Série ED-V8;-;8000;0;7;Change d'apparence, Autonome, Negociation Elevée
55;Droid hologuidé pour environnement hostile;-;3500;0;4;(Minion), Répulseur, Piloté à distance, Holoprojecteur
55;Droid dd sauvetage Série SBD;-;7500;0;3;Médecine, Jet Per Diff-2
55;Droid d'entraînement TRD-2;-;7750;0;6;1h entraînement -> Def Cac +2 pour la journée
55;Droid dialectique Série TTS20;-;5400;0;7;Débattre, Négo, Tromperie, +2 Jet Négo (bordure ext)
;;-;;;;
