Communications;;;;;;
172;Comlink (standard);-;25;0;1;Portée Orbite basse
172;Comlink (longue portée);-;200;2;0;Portée Orbite haute
172;Holo-disque;-;250;0;4;Communicateur holographique
Poisons;;;;;;
172;Anésthésiqe de synthèse standard (1 dose);-;35;0;4;Diff 3 immobilisé 3 tours +1 stress / menace
172;Neuroparalysant de synthèse standard (1 dose);I;75;0;6;Diff 2-3 Dgt 5 stress 2 menaces -> perte manœuvre gratuite, 3 menace étourdit 1 tour
172;Neurotoxine de synthèse standard (1 dose);I;50;0;6;Diff 2-3 Dgt 6 + 1 / menace
Detection;;;;;;
177;Détecteur de poche;-;100;0;2;Signe vitaux, contaminant, agent pathogène, micro défaut
177;Détecteur universel;-;500;2;3;Forme de vie, radiation, chaleur, onde, métaux. 0,5km-5km  
176;Electrojumelles;-;250;1;1;Zoom, image thermique, enregistrement. -1 dé noir distance ou luminosité
177;Jumelles scanner;-;150;0;3;Thermique, amplification lumière
177;Macrojumelles;-;75;1;2;Zoom
177;Traceur;I;175;0;4;3cm diamètre, portée 1-10km 
Medical;;;;;;
177;Bacta (litre);-;20;1;1;1 pv / 2h(Blessé) ou 6h(Neutralisé) 1 Critique / 24 (test resistance)
178;Bacta (cuve entière);-;4000;12;1;1 pv / 2h(Blessé) ou 6h(Neutralisé) 1 Critique / 24 (test resistance)
178;Médipack de secours;-;100;1;1;Jet Medecine sans malus
178;Médipack;-;400;2;2;Jet Medecine +1 dé bleu, 1 stimpack / scène
178;Peau synthétique;-;25;0;1;Recouvre des pièces mécaniques
178;Stimpack;-;10;0;1;Soigne 5 pv -1 x applications
Cybernetic;;;;;;
175;Arme cybernétique;-;4000;0;7;Blaster intégré, dégainé = broutille
175;Armure implantée;-;7500;0;6;+1 Encaissement
175;Bras cybernétique (Mod V et Mod VI);-;10000;0;6;+1 Vig ou +1 Agi
175;Bras scanner cybernétique;-;4000;0;7;Scanner standard portée moyenne, Forme de vie, mouvements, signatures énergétiques
175;Implant cognitif;-;10000;0;6;+1 Int
175;Implant immunologique;-;5000;0;6;+1 Resistance
175;Jambe cybernétique (Mod II et Mod III);-;10000;0;6;+1 Vig ou +1 Agi
175;Prothèse réplique (membre);-;2000;0;4;Réplique un membre humain
175;Prothèse réplique (organe);-;1000;0;4;Réplique un membre humain
175;Yeux cybernétique;-;7500;0;6;+1 Vigilance +1 Perception
Recreational;;;;;;
179;Cubes du destin;-;1;0;0;Dés rouges et bleus à 6 faces
179;Jeu de cartes de Sabacc;-;40;0;0;Faire +23 ou -23
179;Table de Dejark;-;350;10;1;Table holographique d'un jeu de stratégie
Security;;;;;;
179;Bouchon d'entrave;-;35;0;0;Jet sang froid diff 4 pour ne pas être paralysé
180;Brouilleur;-;400;4;3;portée 250m-3km, Diff 4 à 2 pour passer le brouillage fonction de la portée
180;Crypteur;-;1000;0;5;Ajoute 2 dés noirs à ceux qui cherche à écouter la conversation
180;Matériel de slicer;-;500;2;4;Permet de pirater un ordinateur ou élément connecté (caméra, serrure )
180;Menottes;-;25;0;0;Jet Coordination ou Athlétisime Diff 4 pour s'échapper
179;Passe-partout électronique;I;1000;1;5;Ouvre automatiquement serrures electronique diff 2
179;Trousse de déguisement;-;100;2;4;Permet de changer d'apparence, d'empreinte digital, camouflage ADN
Survival;;;;;;
181;Combinaison spatiale;-;100;4;1;Hermétique, micro-propulseur, botte magnétique, comlink, poche a outils
181;Couverture thermique;-;200;2;1;Retire 2 dés noirs du au condition climatique
181;Kit de survie en cas de crash;-;300;5;2;1 couverture thermique, couteau multifonction, balise de detresse, 2 comlinks d'appoint, filtreur d'eau, gourde, baton luidant,  10 rations, 1 pistolet de detresse
180;Ration;-;5;0;0;1 repas, autochauffante
181;Respirateur;-;25;1;1;Version filtrante ou sous marine
181;Tente;-;100;4;1;Abrite une personne
Tools;;;;;;
183;Bâton luisant;-;10;1;0;Directionel
185;Ceinture multi-usages;-;25;0;0;Seuil encombrement +1
183;Datapad;-;75;1;1;Enregister, stocker, consulter des données
183;Jet pack;-;4500;2;7;Gabarit 1, Vitesse 2, Man 0, Stress mecanique 3. Pilotage planétaire
183;Lanterne à fusion;-;150;2;2;Lumière et chaleur. Peut charger petits éléments (datapad, baton luisant)
183;Matériel d'escalade;-;50;1;2;4 pitons auto adhérent, 50m de synthé-corde
183;Munitions / cellules énergétique;-;25;1;1;Pallie une pénurie de munitions sur un désastre
183;Plaque de réparation d'urgence;-;25;0;1;Soigne 3 pv sur droid (5 applications max / jour)
183;Sac à dos;-;50;0;0;+4 Encombrement
183;Trousse à outils;-;350;4;2;Tout jet mécanique pour réparer et soigner les droids
