Communications;;;;;;
45;Relais holonet portable X-500;-;75000;15;7;Connecter à l'holonet
45;Collier de communication;-;50;0;1;Amplifie la voix, Portée extrème, +100 crédits brancher sur système
;;-;;;;
Poisons;;;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Detection;;;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Medical;;;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Cybernetic;;;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Recreational;;;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Security;;;;;;
46;Kit d'investigation;-;450;4;4;+1 succès Jet Perception, +1dé bleu investigation simple
46;Magna-menottes;-;100;1;4;Diff 5 Coordination pour s'échapper
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Survival;;;;;;
46;Générateur d'atmosphère Eliseum;-;4500000;10000;7;
47;Générateur d'eau;-;2000;12;2;
47;Amortisseur de réaction atmosphérique;-;200000;300;5;
47;Générateur de biome;-;9000;45;4;
;;-;;;;
;;-;;;;
Tools;;;;;;
47;Système de divertissement portable;-;2500;10;4;
48;Instrument de musique;-;100;3;2;
48;Datapad de commerce;-;250;1;3;1 région, +1 dé bleu Jet négo acheter ou vendre
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Droids;;;;;;
49;Droid de maintien de l'ordre AC;I;9600;0;5;Rival,Coercition2,Sang-Frooid2,Cac2,PilotageEspace2,SystèmeD3,Vigilance3
49;Droid de traque DZ-70;I;9800;0;4;Rival,PilotagePlanétaire2,Discretion2,Survie3,Vigilance2
49;Mini-med Medtech;-;900;0;3;Minion,Talent Chirurgien +1/Droid
50;Droid de recyclage série 1.42.08;-;6500;0;4;Minion,Recycle nourriture
50;Droid de spectacle série SDMN;-;4000;0;5;Rival,Charme2,Calme2,Informatique2,Coordination2,Tromperie2
;;-;;;;
