Energy;;;;;;;;;;;
44;Fusil de précison X;Lou;9;3;Lon;5;1;-;1500;8;Perforant1,RéglageEtourdissant(portée moy)
44;Blaster anti-émeute;Lou;10;6;Cou;6;3;-;1250;5;Souffle6,Encombrant3,RéglageEtourdissant
Slugthrowers;;;;;;;;;;;
Thrown;;;;;;;;;;;
Others;;;;;;;;;;;
44;Lance-flamme;Lég;5;2;Cou;4;1;I;1200;7;Souffle2,Incendiaire2,Perforant2,Sanguinaire3
45;Lanceur de grappin;Lég;3;5;Cou;2;0;-;450;5;Enchevêtrement3,Diff2Attrapé objet,Athlétisme diff2 tiré une personne
45;Canon à répulsion;Lou;3;6;Cou;5;1;-;1000;7;Souffle2,Choc1,Renversement,Déploiement1,CadenceLente1
46;Mini-Missile anti-armure;Lou;8;4;Cou;1;1;-;300;5;Brêche1,MunitionLimité1
46;Mini-Missile explosif;Lou;7;2;Cou;1;1;-;150;4;Souffle6,MunitionLimité1
46;Mini-fléchettes explosives;Lou;6;2;Cou;1;1;-;175;5;Souffle5,Sanguinaire2,MunitionLimité1
46;Mini-Missile incendiaire;Lou;6;3;Cou;1;1;-;175;5;Souffle5,Incendiaire2,MunitionLimité1
47;Mini-Missile à ion;Lou;10;3;Cou;1;1;-;100;6;Ion,Briseur,MunitionLimité1
47;Lanceur de Mini-Missile;Lég;0;0;Moy;3;0;-;500;7;3Mini-missiles
Brawling;;;;;;;;;;;
;;;;;;;;;;;
Melee;;;;;;;;;;;
48;Baton étourdissant 'Gardien de la paix';CàC;+2;4;Con;3;2;-;500;3;Encombrant3,Etourdissement3,Désorientation2
48;Pic à ion;CàC;10;3;Con;2;1;-;750;6;Imprécis1,Ion,Perforant4
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
