Communications;;;;;;
59;Holo-Megacaster;-;600;1;3;Projète voix portée extrème,+1Dé Bleu Présence
;;-;;;;
;;-;;;;
Poisons;;;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Detection;;;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Medical;;;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Cybernetic;;;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Recreational;;;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Security;;;;;;
59;Insigne de la république;I;100;0;3;Persuasion+1Dé Bleu sur ancien de la république, PerceptionDiff3 Détecter un faux
60;Sceau de service de la république;I;1000;0;9;Persuasion+1Succès sur ancien de la république
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Survival;;;;;;
59;Respirateur Aquata A99;-;100;0;7;Réspirer sous l'eau,1 charge,2h
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Tools;;;;;;
59;Charge de démolition Destro-6;-;750;1;5;Dgt20(+5/Charge),Breche1,CourtePréparer, MecaniqueDiff1->5min,Diff3->2min,3Menaces->Explose
59;Ceinture Utilitaire Jedi;-;800;0;7;3 Rations,Médipack d'urgence,Kit de maintenace de sabre laser,Encombrement+1,sabreLaser encombrement0
59;Kit de maintenance de sabre laser;-;400;2;7;Réparation+1Av
60;Kit de démolition Lourd X5R;-;1000;4;6;Préparer explosif+2Dé Bleu,Retire un désastre
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Droids;;;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
