Energy;;;;;;;;;;;
51;Fusil Blaster DC-15;Lou;10;3;Lon;6;4;I;2200;6;Encombrant3,Perforant1,RÈglageEtourdissant
51;Carabine Blaster DC-15A;Lou;9;3;Moy;3;4;I;1500;5;Automatique,Perforant2,RÈglageEtourdissant
51;Blaster DC-17;LÈg;7;3;Moy;2;3;I;1000;6;Perforant1,RÈglageEtourdissant,3Menaces->ACoursDeMunitions
52;Cannon Blaster Rotatif Z-6;Lou;12;4;Lon;6;3;I;3000;7;Automatique(forcÈ),Encombrant3,DÈploiement1,2Menaces->Surchauffe+2Stress,EndommagÈ+1
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
Slugthrowers;;;;;;;;;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
Thrown;;;;;;;;;;;
;;;;;;;;-;;;
Others;;;;;;;;;;;
52;Grenade Perce Armure Ap-M1;LÈg;13;3;Cou;1;0;I;200;6;Souffle4,MunitionsLimitÈs1,Perforant4,AdhÈrente
52;Lance Flamme Lourd BT X-42;Art;10;2;Moy;6;2;I;2000;7;Souffle6,Incendiaire4,Sanguinaire1,3Menaces->Surchauffe,Inactif3Tours,1DÈsastre->Explosion
53;Grenade EMP MKII;LÈg;8;4;Cou;1;0;-;150;5;Souffle6,DÈsorientation3,Ion,MunitionsLimitÈs1
53;MortiÈe ModËle 201;Art;15;3;Ext;10;1;I;5400;7;Souffle12,Breche1,MunitionsLimitÈs5,CadenceLente1,PortÈeMin Moyenne
53;Lance-Roquette RPS-6;Art;22;2;Ext;8;4;I;8200;8;Souffle14,Breche1,Encombrant4,GuidÈ2,MunitionsLimitÈs7,Sil2+->VisÈe+1DÈBleu
Brawling;;;;;;;;;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
Melee;;;;;;;;;;;
53;Bouclier Rempart Anti-Explosion M3;C‡C;+1;6;Con;6;1;I;600;5;Encombrant3,Parade2,DÈviation2
54;Couteau de combat M8;C‡C;+1;3;Con;1;1;-;150;4;PrÈcis1,Perforant1
54;"Baton Choc ""Zapper""";C‡C;5;4;Con;2;2;-;900;6;Choc1,DÈgatsEtourdissant
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
Lightsaber;;;;;;;;;;;
54;Sabre laser;Sab;6;2;Con;1;5;I;8000;10;Breche1,Briseur
55;Sabre laser Shoto;Sab;5;2;Con;1;3;I;8000;10;PrÈcis1Breche1Briseur
55;Sabre laser d'entrainement;Sab;6;0;Con;1;5;I;400;6;DÈgatsEtourdissant
;;;;;;;;-;;;
