Energy;;;;;;;;;;;
44;Pistolet blaster Blastech DL-19C;Lég;5;4;Moy;1;4;-;450;4;Réglage étourdissant, Bidouillage appliqué x2
44;Fusil modulaire DDC-MR6;Lou;7;3;Moy;3;6;-;1000;6;Réglage étourdissant, Jet Mecanique diff 2 ajouter/retirer kits
45;Pistolet à moteur ionique;Lou;5;4;Cou;8;0;-;300;2;Choc 1,Encombrant 5,Ionique,Déploiement 1, Dissimulable 1, +2 dés bleus  sabotage 
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
Slugthrowers;;;;;;;;;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
Thrown;;;;;;;;;;;
;;;;;;;;-;;;
Others;;;;;;;;;;;
46;Pistolet à clous;Lég;4;3;Con;4;1;-;900;1;Enchevêtrement 1,Imprécis 2,Munitions limités 1, Jet réparation critique diff -1
45;Pistolet multi-colle;Lég;2;0;Cou;2;1;-;250;1;Désorientation 1,Enchevêtrement 4,Renversement, +1 avantage réparation, 2 menaces -> Munitions, Recharger une action
46;Arme à répulsion;Lou;3;5;Cou;5;0;-;200;3;Renversement, Désastre -> Renversement et Désorientée (2)
;;;;;;;;-;;;
;;;;;;;;-;;;
Brawling;;;;;;;;;;;
;;Pug;;;;;;-;;;
;;;;;;;;-;;;
Melee;;;;;;;;;;;
44;Arme à pulsation électromagnétique;CàC;5;4;Con;1;0;-;180;5;Désorientation 1, Ionique
47;Pince mécanique;CàC;+2;4;Con;5;4;-;500;3;Encombrant 5,Déploiement 1,Sanguinaire 4, +1 avantage fabrication
47;Soudeur à fusion;CàC;3;2;Con;4;0;-;1750;5;Brêche1,Imprécis2,Jet mécanique+1succès,Désastre->Blessure critique
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
Lightsaber;;;;;;;;;;;
;;Sab;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
